exper	educ
16	7
9	12
16	12
10	11
16	12
8	12
9	18
9	14
10	12
11	12
13	9
8	12
7	11
13	11
9	16
4	14
16	12
9	14
10	10
14	12
8	18
10	18
11	15
10	12
14	12
10	18
8	12
8	18
7	12
9	14
7	12
7	12
2	16
10	18
11	11
8	16
15	10
10	18
15	6
7	11
16	12
11	9
11	15
17	11
6	12
2	16
6	12
6	13
5	17
7	12
8	12
14	11
8	10
9	12
9	12
6	12
8	16
10	16
13	13
16	12
6	12
9	9
12	16
6	16
8	12
0	18
12	13
8	14
7	15
7	12
17	8
8	12
7	12
3	16
6	16
4	17
6	12
9	14
6	12
6	12
8	12
14	11
7	12
7	18
10	12
1	18
3	16
4	14
6	14
7	16
10	14
7	15
5	13
13	13
7	17
2	18
8	18
4	17
4	17
12	12
4	18
8	12
7	18
11	14
9	13
12	14
10	18
12	16
5	17
15	12
8	13
4	14
5	18
6	12
8	13
8	18
7	11
6	15
9	14
6	17
8	12
6	12
16	12
15	13
8	12
5	16
14	9
3	16
6	18
7	16
8	14
11	14
10	12
9	12
6	14
3	17
7	16
9	16
8	14
7	12
7	16
8	14
12	12
15	13
4	16
16	12
9	18
7	12
13	12
4	16
7	12
8	16
2	16
7	18
3	17
2	16
1	18
4	18
6	16
5	16
4	17
7	14
6	13
6	12
4	16
13	12
9	17
9	12
7	12
9	12
3	16
6	18
5	16
13	12
16	12
15	12
9	18
10	11
12	13
9	13
8	12
13	12
6	12
6	16
7	12
3	16
6	12
11	12
13	15
9	12
10	12
10	16
3	16
3	16
8	18
5	18
3	17
10	12
9	13
10	18
5	16
11	12
6	16
9	16
10	12
10	15
14	13
14	12
10	14
6	15
6	12
9	12
16	12
16	10
16	11
14	14
6	18
4	15
16	10
9	13
7	16
13	10
8	12
8	12
4	17
4	15
7	13
3	16
12	12
11	15
3	16
9	12
8	16
15	12
2	18
6	17
5	16
5	13
11	12
8	12
8	12
16	12
3	18
3	17
1	17
1	17
4	14
3	16
7	18
6	15
6	15
15	9
14	8
6	12
14	12
15	12
13	12
15	9
12	14
18	10
7	17
7	12
14	12
8	12
8	12
2	16
17	9
13	12
10	12
6	16
5	16
2	16
12	11
7	12
8	12
6	16
16	12
19	9
19	9
2	17
12	10
7	12
15	13
9	14
15	10
2	16
7	12
2	16
2	16
6	12
11	12
5	13
17	3
20	7
13	14
8	12
8	12
7	12
11	12
9	13
10	12
1	17
14	12
10	12
5	14
13	12
4	17
10	12
7	12
6	12
19	9
7	12
6	12
10	9
8	12
7	13
7	18
3	16
12	16
7	12
6	17
8	14
7	12
7	15
4	15
9	18
15	9
6	12
4	18
7	16
9	12
11	12
9	12
5	13
4	17
13	13
7	12
6	12
4	17
11	12
3	15
10	12
7	12
9	12
10	10
9	12
8	11
4	17
6	14
11	17
8	13
10	11
12	12
16	12
4	18
9	18
4	16
11	12
14	12
14	12
10	18
2	16
6	16
6	16
7	12
6	12
13	9
10	9
5	14
6	12
3	18
3	16
14	12
16	12
14	10
8	17
14	12
17	11
14	12
14	10
5	18
3	18
9	13
6	18
0	18
4	17
6	14
16	11
14	12
10	18
6	18
8	12
9	17
5	17
4	18
10	11
4	16
6	12
4	15
9	16
5	18
15	12
6	16
11	13
2	17
15	7
13	15
13	12
16	12
9	18
6	12
9	11
2	16
15	12
15	12
7	16
10	12
4	16
2	18
5	16
6	13
6	16
4	16
5	18
5	14
11	12
6	15
15	12
12	13
7	15
2	16
7	12
4	17
7	15
4	14
8	18
7	16
5	14
2	16
1	18
7	12
3	16
9	16
10	12
8	13
8	10
5	16
5	15
6	17
7	12
2	16
4	18
5	17
2	18
14	12
8	13
4	15
4	14
11	16
6	16
8	18
2	16
17	11
2	18
8	12
10	11
12	16
2	18
10	12
1	18
5	18
11	16
9	16
10	18
10	18
12	14
10	12
13	12
10	12
6	12
7	11
13	14
8	13
15	12
4	14
7	13
8	12
16	12
13	15
6	12
7	12
16	12
7	13
6	13
5	17
11	12
6	16
7	13
5	14
2	16
5	14
8	12
9	16
8	12
9	12
10	12
12	12
8	12
12	12
9	12
10	12
7	12
7	18
6	14
4	14
9	12
6	13
5	16
10	12
7	12
9	14
8	12
15	12
10	12
14	12
8	12
8	10
18	7
8	16
9	13
9	18
10	12
8	17
11	12
3	15
11	9
8	12
7	12
16	11
9	14
2	17
3	18
17	10
6	16
9	12
16	12
7	12
7	12
11	10
9	13
6	12
3	16
6	14
2	16
2	16
14	12
10	16
5	13
10	12
9	12
16	12
8	15
16	12
16	12
13	14
10	16
8	18
9	18
6	18
13	14
9	18
12	12
8	12
8	12
6	14
7	13
6	12
9	12
10	12
8	12
15	12
10	14
11	12
9	11
2	16
13	12
10	12
6	15
4	16
9	10
8	12
7	13
11	12
3	16
15	12
8	12
4	17
7	13
4	16
5	13
15	12
16	10
10	13
16	12
8	15
9	9
7	12
5	13
11	12
11	12
10	15
11	16
16	12
8	12
8	18
13	13
6	14
4	16
7	12
13	12
18	7
16	11
7	16
2	18
10	12
9	12
18	10
7	16
4	16
10	13
10	14
4	16
16	12
15	12
4	14
13	13
16	12
16	10
10	16
12	16
5	15
6	13
10	8
10	12
6	16
3	16
5	15
16	12
15	13
13	15
9	16
6	12
6	15
12	12
1	18
9	18
6	12
5	18
10	18
9	18
7	13
5	14
6	15
1	17
7	14
7	16
10	11
10	9
8	12
19	7
12	12
13	14
11	17
8	18
5	13
10	12
10	12
14	13
6	17
3	15
2	16
8	12
13	12
14	12
3	18
4	14
11	15
2	16
3	16
8	12
6	18
9	14
1	18
11	12
8	12
10	14
14	12
6	16
11	12
9	12
6	13
8	13
6	14
10	12
5	16
7	12
9	14
6	13
10	12
8	12
19	8
16	12
6	13
7	12
10	10
9	10
15	12
9	12
7	12
6	12
9	11
6	12
10	12
7	14
5	14
11	17
7	12
12	12
12	11
6	13
9	12
8	12
7	16
10	16
3	16
5	17
10	17
19	9
6	14
10	17
10	18
6	12
4	17
9	12
4	14
2	17
3	18
0	18
8	17
12	16
6	12
3	18
6	16
6	12
19	6
6	15
9	18
9	14
7	12
4	15
6	12
9	12
4	18
7	11
6	16
4	17
2	16
13	14
9	16
10	12
7	17
9	13
5	16
10	18
8	18
7	14
20	8
1	18
6	12
2	16
6	13
9	13
11	12
7	12
6	12
7	16
3	15
7	15
9	12
9	16
6	16
6	14
5	15
16	12
3	18
18	9
11	14
9	16
7	15
3	17
5	16
7	13
12	16
11	16
12	15
12	14
9	16
13	12
11	17
7	12
5	13
13	14
8	11
7	11
8	13
9	12
6	12
7	16
4	16
1	18
2	16
11	16
1	17
4	16
10	13
6	16
3	15
10	12
6	12
6	12
11	12
10	12
8	12
10	16
11	16
14	12
7	14
6	12
11	12
11	11
8	11
14	11
9	11
13	12
13	13
2	16
11	13
7	13
9	10
8	16
12	16
9	12
9	11
8	11
17	10
17	10
8	18
5	14
0	18
11	16
14	12
7	17
11	16
8	12
6	14
1	18
14	14
7	15
13	15
11	15
11	16
12	15
7	15
12	14
9	12
9	14
5	16
4	15
9	12
7	12
9	18
6	14
7	14
15	12
7	16
7	17
10	13
9	18
12	12
8	14
4	15
7	12
10	14
13	12
9	9
9	12
16	12
11	11
3	15
2	16
15	12
14	13
7	13
5	17
12	16
15	12
8	18
6	12
4	16
7	13
7	12
5	14
6	16
6	12
13	12
7	12
8	12
7	13
7	12
20	7
2	18
6	12
14	12
8	18
5	18
7	15
7	16
4	16
8	12
15	12
10	11
13	15
6	16
2	17
7	15
11	13
16	12
6	12
9	12
10	12
6	16
7	12
12	12
15	12
5	18
11	12
5	17
3	15
11	12
6	18
6	18
11	12
6	12
5	17
8	12
9	11
6	15
5	17
3	17
8	12
10	10
10	12
8	12
4	14
2	16
12	12
15	13
10	16
10	12
7	12
4	16
4	15
12	8
3	15
11	12
9	12
6	17
4	16
9	12
3	16
6	12
7	13
7	13
8	15
5	14
14	12
7	13
15	9
4	16
3	16
10	17
12	14
8	16
6	12
8	14
16	12
7	16
5	13
3	16
4	14
7	12
13	13
4	17
11	16
14	12
7	12
16	11
2	16
6	12
7	12
9	14
3	16
9	13
6	12
3	18
10	18
14	12
6	14
2	16
7	13
11	17
7	14
8	12
6	14
6	12
6	12
2	16
4	15
2	18
6	12
6	13
16	9
8	12
9	9
20	8
7	14
2	16
5	14
6	18
9	12
2	16
12	12
10	12
6	12
14	12
17	11
13	10
5	17
8	11
6	16
6	12
8	18
12	12
8	12
10	10
2	16
16	12
7	12
7	12
7	12
2	16
14	12
11	17
15	12
10	12
12	12
3	16
8	11
6	13
8	18
14	12
8	11
8	13
4	16
0	18
6	12
15	12
9	12
9	12
7	18
2	16
6	12
10	12
8	12
11	12
9	12
7	12
14	9
13	12
5	18
5	15
11	12
12	12
16	12
15	13
0	18
13	13
0	18
7	15
8	14
4	18
6	12
3	16
5	14
10	12
9	12
8	11
6	12
6	16
12	16
6	14
8	13
5	13
14	12
3	16
15	13
9	12
14	13
15	12
15	12
13	12
10	12
10	12
13	12
8	16
7	16
6	16
6	13
15	13
16	12
7	18
8	14
3	16
8	12
16	12
4	16
8	16
6	18
15	13
8	17
6	12
12	12
10	12
8	12
9	16
16	12
7	16
13	12
4	17
1	17
5	14
4	15
13	15
4	16
7	16
5	16
4	18
17	11
10	15
10	11
9	15
5	13
10	12
10	16
10	17
12	12
2	16
6	12
5	15
3	15
13	12
3	16
14	9
7	15
12	12
4	16
5	18
4	15
7	18
14	12
10	12
12	11
8	12
3	18
2	16
8	12
6	12
7	12
7	11
14	12
11	12
15	13
9	12
6	12
20	7
10	12
10	12
10	12
6	14
13	10
9	12
5	14
10	12
3	16
11	10
15	12
6	17
12	8
16	11
9	12
7	13
11	12
10	11
7	13
9	12
5	13
5	18
8	12
11	12
3	16
6	13
7	13
11	12
13	13
12	9
19	8
19	8
13	11
15	11
6	16
16	12
8	12
4	15
7	15
6	12
13	12
12	16
3	18
9	12
2	16
4	16
1	17
10	12
8	16
8	16
12	12
8	16
11	12
9	15
5	17
6	16
10	12
8	12
14	12
10	11
5	16
9	13
12	13
2	16
5	18
14	12
15	12
12	12
7	12
16	12
11	12
11	9
7	16
8	12
9	14
14	12
6	16
9	15
9	13
9	12
5	13
10	12
10	12
4	14
8	12
9	12
10	12
6	18
3	15
14	14
14	13
6	15
2	16
11	16
12	13
9	12
7	12
16	11
6	15
4	14
14	12
13	11
16	11
2	17
6	12
6	12
12	12
12	12
5	14
19	9
5	17
8	16
9	14
5	18
1	18
6	12
13	14
2	18
5	18
8	12
6	16
10	14
15	11
6	12
10	18
11	16
13	12
7	12
15	12
6	14
6	12
10	16
10	8
10	13
16	12
7	13
5	14
11	12
13	13
9	12
5	16
2	18
7	12
7	14
6	12
9	17
10	12
6	12
2	16
13	12
14	12
7	14
11	16
4	16
13	11
5	15
9	12
9	16
2	16
7	16
5	18
14	13
10	12
8	12
3	16
2	16
9	12
8	16
9	12
19	8
11	12
6	12
5	17
5	14
18	8
3	17
10	12
9	12
8	12
6	12
8	14
7	13
13	12
8	12
7	18
15	12
10	11
8	11
6	16
7	12
9	13
4	14
7	16
6	16
13	12
9	14
15	12
5	14
6	16
16	12
8	12
4	16
6	12
7	14
11	12
13	11
6	12
10	10
8	14
7	18
8	12
4	18
10	14
10	14
8	12
12	10
14	7
8	12
8	12
18	9
4	16
10	14
4	17
7	13
14	14
12	10
9	12
6	12
7	12
12	10
14	11
16	11
7	12
10	12
15	12
6	14
10	11
7	13
5	16
11	16
7	16
5	15
12	11
2	16
7	14
10	13
5	13
15	13
16	11
11	12
11	10
4	16
7	14
12	15
10	12
7	12
8	13
8	13
7	12
3	16
14	10
7	12
11	11
10	12
16	11
14	12
13	12
8	11
13	13
8	12
15	11
13	12
5	13
4	17
7	12
7	14
14	12
7	14
5	13
5	13
14	12
11	12
5	17
3	16
16	7
10	12
9	12
14	10
8	13
5	13
2	17
6	12
14	12
15	8
9	14
3	18
14	13
5	15
11	9
5	13
7	14
3	16
16	12
7	14
8	10
16	12
6	14
9	14
12	12
4	14
19	8
16	12
6	17
3	17
6	16
9	10
6	12
13	12
14	12
6	16
6	13
3	16
6	16
15	13
4	16
5	13
7	12
9	12
8	12
8	13
8	13
16	12
11	11
12	12
8	11
8	18
4	18
9	15
5	16
9	12
12	10
5	13
7	13
13	14
7	12
7	12
3	15
16	12
12	12
9	12
7	12
12	12
8	18
12	15
9	15
5	18
5	15
7	13
9	11
18	10
7	12
6	13
10	8
5	16
4	16
2	16
16	12
12	14
14	12
3	16
7	12
10	12
9	12
13	12
11	12
12	10
8	12
10	10
18	10
12	10
13	12
12	12
14	12
8	18
11	16
7	17
8	12
10	8
9	14
14	10
12	16
7	18
14	10
5	16
17	10
9	12
16	12
12	14
8	10
14	14
5	13
8	18
6	17
9	17
11	13
8	12
5	14
7	14
10	13
7	16
3	16
16	12
6	14
6	16
5	16
4	16
6	14
3	16
6	12
6	13
4	18
5	13
6	18
7	12
6	12
8	12
7	12
13	12
10	13
13	15
4	16
8	11
14	12
5	17
6	12
5	14
6	12
5	15
4	18
8	12
9	12
10	15
9	15
21	5
10	13
14	10
6	15
8	12
9	12
8	12
23	2
10	11
6	16
15	12
11	16
2	16
17	9
13	11
6	12
14	12
12	12
9	16
5	16
7	12
6	12
18	10
4	14
10	12
4	14
8	13
17	8
8	18
13	7
6	12
3	18
11	8
9	16
12	6
18	9
6	12
9	9
9	12
9	16
6	12
16	12
15	11
3	15
7	12
8	10
10	10
11	9
4	14
5	16
10	15
15	12
8	13
4	18
17	10
10	12
16	12
5	17
11	16
14	14
11	11
8	12
4	14
10	11
13	12
4	18
22	6
8	14
9	12
13	11
14	11
8	16
10	12
7	14
13	12
8	12
15	12
8	11
9	16
1	17
5	14
7	12
3	16
8	13
13	13
8	12
10	17
6	16
8	16
2	17
13	14
6	17
4	14
7	12
12	12
5	16
6	14
7	12
2	17
6	17
3	18
13	15
12	16
10	17
8	15
6	18
3	16
2	16
5	13
15	12
9	12
8	12
7	17
19	7
16	12
5	16
15	12
4	16
6	12
12	12
5	16
2	16
4	17
1	17
14	12
6	12
13	8
9	12
5	13
11	13
10	12
5	13
15	12
8	14
8	18
3	16
13	9
8	14
20	8
9	13
12	13
10	13
8	13
3	15
6	16
18	7
5	14
16	12
18	8
5	14
15	8
12	12
8	12
6	12
10	12
6	12
15	9
16	3
6	12
10	10
8	12
6	16
0	18
7	12
15	12
15	10
15	9
19	6
10	12
6	12
7	13
12	8
6	12
10	13
16	8
11	9
20	8
16	12
9	16
9	12
9	12
5	16
7	12
11	14
14	12
5	16
7	12
6	15
16	12
8	14
8	10
16	12
3	15
8	12
8	12
15	10
6	12
17	8
10	8
2	16
12	11
7	12
10	13
18	9
7	12
14	12
13	10
3	17
3	16
10	9
5	15
6	12
19	8
7	12
10	12
16	12
6	12
13	12
6	16
5	14
8	12
5	15
7	13
7	13
19	6
13	11
12	9
10	12
15	11
8	12
7	16
10	11
16	12
6	12
11	12
5	16
10	14
12	16
8	15
8	16
5	13
6	12
5	14
6	18
14	12
7	12
5	16
5	13
2	17
4	14
8	12
5	13
9	13
4	18
14	12
7	11
11	9
15	8
5	13
8	16
9	13
10	12
10	12
6	15
8	11
18	8
16	11
13	10
1	17
11	12
10	16
12	11
12	8
4	16
14	9
21	5
12	12
11	16
7	14
8	16
9	16
11	10
7	12
8	12
10	12
14	12
9	11
15	8
11	10
3	16
5	13
5	16
7	15
18	8
15	12
8	12
14	12
